s4,,,,SL,*,F,s4,*,*,*,*
헤어롤,,,,NNP,*,T,헤어롤,*,*,*,*
돗자리,,,,NNP,*,F,돗자리,*,*,*,*
다육이,,,,NNP,*,F,다육이,*,*,*,*
하이패스,,,,NNP,*,F,하이패스,*,*,*,*
해리포터,,,,NNP,*,F,해리포터,*,*,*,*
차가버섯,,,,NNG,*,T,차가버섯,Compound,*,*,차가/NNP/*+버섯/NNG/*
자라,,,,NNP,*,F,자라,*,*,*,*
mcm,,,,SL,*,F,mcm,*,*,*,*
대게,,,,NNG,*,F,대게,*,*,*,*
킹크랩,,,,NNG,*,T,킹크랩,*,*,*,*
온돌애,,,,NNP,*,F,온돌애,*,*,*,*
찜질,,,,NNG,*,T,찜질,*,*,*,*
스툴,,,,NNP,*,T,스툴,*,*,*,*
옥수수,,,,NNP,*,F,옥수수,*,*,*,*
써큘레이터,,,,NNP,*,F,써큘레이터,*,*,*,*
80d,,,,NNP,*,F,80d,*,*,*,*
70d,,,,NNP,*,F,70d,*,*,*,*
i6,,,,NNP,*,F,i6,*,*,*,*
i7,,,,NNP,*,F,i7,*,*,*,*
i5,,,,NNP,*,F,i5,*,*,*,*
아이로드,,,,NNP,*,F,아이로드,*,*,*,*
선스틱,,,,NNP,*,T,선스틱,Compound,*,*,선/NNP/*+스틱/NNP/*
린넨,,,,NNP,*,T,린넨,*,*,*,*
디퓨저,,,,NNP,*,F,디퓨저,*,*,*,*
티팟,,,,NNP,*,T,티팟,*,*,*,*
임산부,,,,NNP,*,F,임산부,*,*,*,*
썬캡,,,,NNP,*,T,썬캡,*,*,*,*
버켄스탁,,,,NNP,*,T,버켄스탁,*,*,*,*
미니벨로,,,,NNP,*,F,미니벨로,*,*,*,*
오소니,,,,NNP,*,F,오소니,*,*,*,*
킥보드,,,,NNP,*,F,킥보드,*,*,*,*
자블리온,,,,NNP,*,T,자블리온,*,*,*,*
드레스,,,,SL,*,F,드레스,*,*,*,*
백일,,,,NNG,*,T,백일,*,*,*,*
헬리녹스,,,,NNP,*,F,헬리녹스,*,*,*,*
필립스,,,,NNP,*,F,필립스,*,*,*,*
보행기,,,,NNP,*,F,보행기,*,*,*,*
우드윅,,,,NNP,*,T,우드윅,*,*,*,*
s8,,,,SL,*,F,s8,*,*,*,*
아리따움,,,,NNP,*,T,아리따움,*,*,*,*
기프티콘,,,,NNP,*,T,기프티콘,*,*,*,*
베스킨라빈스,,,,NNP,*,F,베스킨라빈스,Preanalysis,NNP,NNP,베스킨/NNP/*+라빈스/NNP/*
롯데리아,,,,NNP,*,F,롯데리아,*,*,*,*
정상해지,,,,NNG,*,F,정상해지,Compound,*,*,정상/NNG/*+해지/NNG/*
유플러스,,,,NNP,*,F,유플러스,*,*,*,*
u+,,,,NNP,*,F,u+,*,*,*,*
s2,,,,SL,*,F,s2,*,*,*,*
블루래빗,,,,NNP,*,T,블루래빗,*,*,*,*
헹거,,,,NNP,*,F,헹거,*,*,*,*
롯데월드,,,,NNP,*,F,롯데월드,*,*,*,*
스벅,,,,NNP,*,T,스벅,*,*,*,*
퍼,,,,NNP,*,F,퍼,*,*,*,*
파우치,,,,NNP,*,F,파우치,*,*,*,*
아이팜,,,,NNP,*,T,아이팜,*,*,*,*
머미쿨쿨,,,,NNP,*,T,머미쿨쿨,*,*,*,*
프리퀀시,,,,NNP,*,F,프리퀀시,*,*,*,*
요거트,,,,NNP,*,F,요거트,*,*,*,*
펜디,,,,NNP,*,F,펜디,*,*,*,*
